产品包分类,产品包code,产品包名称,产品包单价（元）,产品包结算价,2025年度6月 新增订购（单）,"2025年度6月 流水（元）
（单价×新增订购）","2025年度6月 收入（元）
（结算价×新增订购）",2025.6.10销量（单）,2025.6.11销量（单）,2025.6.12销量（单）,2024年度6月 新增订购（单）,"2024年度6月 流水（元）
（单价×新增订购）","2024年度6月 收入（元）
（结算价×新增订购）",2024.6.1销量（单）,2024.6.2销量（单）,2024.6.3销量（单）,2024.6.4销量（单）,2024.6.5销量（单）,2024.6.6销量（单）,2024.6.7销量（单）,2024.6.8销量（单）,2024.6.9销量（单）,2024.6.10销量（单）,2024.6.11销量（单）,2024.6.12销量（单）,2024.6.13销量（单）,2024.6.14销量（单）,2024.6.15销量（单）,2024.6.16销量（单）,2024.6.17销量（单）,2024.6.18销量（单）,2024.6.19销量（单）,2024.6.20销量（单）,2024.6.21销量（单）,2024.6.22销量（单）,2024.6.23销量（单）,2024.6.24销量（单）,2024.6.25销量（单）,2024.6.26销量（单）,2024.6.27销量（单）,2024.6.28销量（单）,2024.6.29销量（单）,2024.6.30销量（单）,订购环比增长量（单）,订购环比增长率,订购同比增长量（单）,订购同比增长率
影视类,yssvipnb,尊享VIP年包,499.0,379.6,0,0.0,0.0,0,0,0,1059,528441,401996.4,52,56,36,32,37,34,30,49,43,50,39,25,25,24,52,42,34,26,42,24,35,47,26,19,24,26,18,43,35,34,0,0.00%,-114,-100.00%
影视类,cjysyfhy,尊享VIP包月,49.0,34.6,112,5488.0,3875.2,0,69,43,5780,283220,199988.0,211,181,125,171,137,128,182,276,259,228,150,119,148,147,221,201,124,170,183,146,207,308,238,161,136,197,231,305,283,207,-1380,-92.49%,-385,-77.46%
影视类,ys3x1yfhy,影视三选一包月,39.0,24.6,100,3900.0,2460.0,0,49,51,17527,683553,431164.2,682,520,410,462,421,380,523,741,753,699,406,377,338,445,650,587,341,387,497,442,593,858,683,456,467,558,842,1145,1099,765,-1775,-94.67%,-1382,-93.25%
影视类,99500502,影视VIP包月,29.0,11.6,233,6757.0,2702.8,0,116,117,843,24447,9778.8,46,27,23,12,16,13,36,44,34,28,12,13,9,17,30,29,13,17,24,16,30,38,45,15,20,27,41,73,61,34,-5365,-95.84%,180,339.62%
影视类,99500503,影视VIP31天,39.0,15.6,77,3003.0,1201.2,0,45,32,3775,147225,58890.0,150,127,83,84,99,112,147,207,208,173,88,75,58,57,150,107,65,78,112,79,108,206,156,91,83,129,157,223,221,142,-388,-83.44%,-259,-77.08%
影视类,ypys90,影视VIP季包,79.0,31.6,11,869.0,347.6,0,6,5,292,23068,9227.2,20,9,3,5,8,0,12,12,16,15,6,10,4,11,12,11,3,4,6,4,10,15,12,5,10,10,5,20,26,8,-120,-91.60%,-20,-64.52%
影视类,ypys180,影视VIP半年包,139.0,55.6,7,973.0,389.2,0,4,3,181,25159,10063.6,8,8,7,8,9,9,9,5,6,13,5,3,1,5,9,4,4,6,3,6,4,7,4,4,1,4,4,10,5,10,-101,-93.52%,-14,-66.67%
影视类,ysnb,影视VIP年包,239.0,95.6,51,12189.0,4875.599999999999,0,24,27,67,16013,6405.2,5,2,2,2,5,3,4,3,4,2,4,1,1,0,3,0,0,2,0,1,0,1,1,2,2,0,6,4,2,5,-277,-84.45%,44,628.57%
影视类,gdhdtehui39,影视少儿包,49.0,0.0,0,0.0,0.0,0,0,0,11,539,0.0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,1,1,1,0,-378,-100.00%,-1,-100.00%
影视类,ysybyh,影视月包（优惠）,9.9,0.0,5,49.5,0.0,0,1,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-155,-96.88%,5,∞
影视类,ysseybyh,影视少儿月包（优惠),14.9,0.0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20,-100.00%,0,0.00%
影视类,TXjgtvby,极好看月包,29.0,20.6,109,3161.0,2245.4,0,52,57,1006,29174,20723.6,183,120,43,0,46,68,87,91,95,70,29,31,21,28,44,33,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-861,-88.76%,-21,-16.15%
影视类,jhk31,极好看实体包,0.0,15.0,160,0.0,2400.0,0,83,77,8004,0,120060.0,299,239,195,205,179,153,194,237,281,281,161,159,131,191,263,265,184,262,268,269,307,423,348,279,263,274,352,527,474,341,-2108,-92.95%,-441,-73.38%
影视类,aqyby,奇好看包月,29.0,20.6,56,1624.0,1153.6,0,29,27,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-798,-93.44%,56,∞
影视类,qhk31,奇好看实体包,0.0,15.0,50,0.0,750.0,0,31,19,3302,0,49530.0,127,99,65,94,79,65,91,159,155,155,85,62,65,77,108,105,68,70,98,71,109,143,152,94,96,125,147,158,213,167,-1205,-96.02%,-252,-83.44%
